ticket_id,ticket_text,diagnosed_issue
TICKET_1,Why is my CPC so high?,poor keyword targeting
TICKET_2,Ads approved but not delivering,bid strategy problem
TICKET_3,Campaign spend increased unexpectedly,low CTR
TICKET_4,Why are my ads not showing?,conversion tracking failure
TICKET_5,Why are my ads not showing?,low CTR
TICKET_6,My campaign budget finished too quickly,low CTR
TICKET_7,Conversions stopped tracking,bid strategy problem
TICKET_8,My campaign budget finished too quickly,budget exhausted
TICKET_9,Why are my ads not showing?,poor keyword targeting
TICKET_10,CTR dropped suddenly yesterday,low CTR
TICKET_11,Why are my ads not showing?,bid strategy problem
TICKET_12,Conversions stopped tracking,poor keyword targeting
TICKET_13,Conversions stopped tracking,budget exhausted
TICKET_14,Why are my ads not showing?,low CTR
TICKET_15,Conversions stopped tracking,poor keyword targeting
TICKET_16,My ads are getting clicks but no conversions,budget exhausted
TICKET_17,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_18,Traffic from ads decreased,conversion tracking failure
TICKET_19,Why is my CPC so high?,budget exhausted
TICKET_20,Conversions stopped tracking,conversion tracking failure
TICKET_21,Campaign spend increased unexpectedly,budget exhausted
TICKET_22,CTR dropped suddenly yesterday,low CTR
TICKET_23,CTR dropped suddenly yesterday,low CTR
TICKET_24,My ads are getting clicks but no conversions,budget exhausted
TICKET_25,Why are my ads not showing?,bid strategy problem
TICKET_26,Why is my CPC so high?,budget exhausted
TICKET_27,Ads approved but not delivering,conversion tracking failure
TICKET_28,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_29,Ads approved but not delivering,conversion tracking failure
TICKET_30,Impressions are high but nobody is clicking,conversion tracking failure
TICKET_31,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_32,Traffic from ads decreased,low CTR
TICKET_33,Impressions are high but nobody is clicking,low CTR
TICKET_34,Why are my ads not showing?,budget exhausted
TICKET_35,My campaign budget finished too quickly,poor keyword targeting
TICKET_36,CTR dropped suddenly yesterday,poor keyword targeting
TICKET_37,Why is my CPC so high?,conversion tracking failure
TICKET_38,Conversions stopped tracking,conversion tracking failure
TICKET_39,My ads are getting clicks but no conversions,conversion tracking failure
TICKET_40,Ads approved but not delivering,bid strategy problem
TICKET_41,Campaign spend increased unexpectedly,low CTR
TICKET_42,CTR dropped suddenly yesterday,budget exhausted
TICKET_43,Why are my ads not showing?,budget exhausted
TICKET_44,My campaign budget finished too quickly,conversion tracking failure
TICKET_45,Traffic from ads decreased,budget exhausted
TICKET_46,Why is my CPC so high?,bid strategy problem
TICKET_47,Why are my ads not showing?,low CTR
TICKET_48,Conversions stopped tracking,low CTR
TICKET_49,Conversions stopped tracking,poor keyword targeting
TICKET_50,My campaign budget finished too quickly,bid strategy problem
TICKET_51,Conversions stopped tracking,budget exhausted
TICKET_52,Why are my ads not showing?,conversion tracking failure
TICKET_53,Conversions stopped tracking,poor keyword targeting
TICKET_54,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_55,My campaign budget finished too quickly,low CTR
TICKET_56,Ads approved but not delivering,bid strategy problem
TICKET_57,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_58,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_59,Campaign spend increased unexpectedly,budget exhausted
TICKET_60,Ads approved but not delivering,budget exhausted
TICKET_61,Traffic from ads decreased,poor keyword targeting
TICKET_62,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_63,CTR dropped suddenly yesterday,budget exhausted
TICKET_64,My ads are getting clicks but no conversions,conversion tracking failure
TICKET_65,My campaign budget finished too quickly,bid strategy problem
TICKET_66,Conversions stopped tracking,conversion tracking failure
TICKET_67,Ads approved but not delivering,bid strategy problem
TICKET_68,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_69,My ads are getting clicks but no conversions,conversion tracking failure
TICKET_70,Why are my ads not showing?,bid strategy problem
TICKET_71,Traffic from ads decreased,conversion tracking failure
TICKET_72,My campaign budget finished too quickly,poor keyword targeting
TICKET_73,Conversions stopped tracking,low CTR
TICKET_74,Why are my ads not showing?,poor keyword targeting
TICKET_75,Impressions are high but nobody is clicking,budget exhausted
TICKET_76,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_77,Why is my CPC so high?,low CTR
TICKET_78,Traffic from ads decreased,bid strategy problem
TICKET_79,Traffic from ads decreased,low CTR
TICKET_80,Ads approved but not delivering,poor keyword targeting
TICKET_81,Why are my ads not showing?,bid strategy problem
TICKET_82,CTR dropped suddenly yesterday,bid strategy problem
TICKET_83,My campaign budget finished too quickly,conversion tracking failure
TICKET_84,Conversions stopped tracking,budget exhausted
TICKET_85,Ads approved but not delivering,bid strategy problem
TICKET_86,My campaign budget finished too quickly,poor keyword targeting
TICKET_87,My campaign budget finished too quickly,low CTR
TICKET_88,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_89,Ads approved but not delivering,low CTR
TICKET_90,Ads approved but not delivering,conversion tracking failure
TICKET_91,Conversions stopped tracking,conversion tracking failure
TICKET_92,CTR dropped suddenly yesterday,budget exhausted
TICKET_93,Conversions stopped tracking,conversion tracking failure
TICKET_94,CTR dropped suddenly yesterday,budget exhausted
TICKET_95,Impressions are high but nobody is clicking,budget exhausted
TICKET_96,Ads approved but not delivering,bid strategy problem
TICKET_97,My ads are getting clicks but no conversions,budget exhausted
TICKET_98,Traffic from ads decreased,budget exhausted
TICKET_99,Conversions stopped tracking,conversion tracking failure
TICKET_100,My ads are getting clicks but no conversions,low CTR
TICKET_101,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_102,Why is my CPC so high?,low CTR
TICKET_103,Why is my CPC so high?,bid strategy problem
TICKET_104,Ads approved but not delivering,poor keyword targeting
TICKET_105,Impressions are high but nobody is clicking,conversion tracking failure
TICKET_106,My campaign budget finished too quickly,bid strategy problem
TICKET_107,My ads are getting clicks but no conversions,conversion tracking failure
TICKET_108,Traffic from ads decreased,bid strategy problem
TICKET_109,Campaign spend increased unexpectedly,low CTR
TICKET_110,My ads are getting clicks but no conversions,low CTR
TICKET_111,Ads approved but not delivering,conversion tracking failure
TICKET_112,Why is my CPC so high?,low CTR
TICKET_113,Campaign spend increased unexpectedly,budget exhausted
TICKET_114,Why is my CPC so high?,conversion tracking failure
TICKET_115,Why are my ads not showing?,conversion tracking failure
TICKET_116,Impressions are high but nobody is clicking,low CTR
TICKET_117,Ads approved but not delivering,low CTR
TICKET_118,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_119,Traffic from ads decreased,budget exhausted
TICKET_120,Traffic from ads decreased,poor keyword targeting
TICKET_121,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_122,Conversions stopped tracking,conversion tracking failure
TICKET_123,Why is my CPC so high?,bid strategy problem
TICKET_124,Ads approved but not delivering,conversion tracking failure
TICKET_125,My ads are getting clicks but no conversions,budget exhausted
TICKET_126,My campaign budget finished too quickly,conversion tracking failure
TICKET_127,My ads are getting clicks but no conversions,bid strategy problem
TICKET_128,CTR dropped suddenly yesterday,low CTR
TICKET_129,Why are my ads not showing?,budget exhausted
TICKET_130,Conversions stopped tracking,poor keyword targeting
TICKET_131,Impressions are high but nobody is clicking,conversion tracking failure
TICKET_132,Conversions stopped tracking,budget exhausted
TICKET_133,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_134,Campaign spend increased unexpectedly,bid strategy problem
TICKET_135,Campaign spend increased unexpectedly,conversion tracking failure
TICKET_136,Why are my ads not showing?,budget exhausted
TICKET_137,Conversions stopped tracking,conversion tracking failure
TICKET_138,My ads are getting clicks but no conversions,bid strategy problem
TICKET_139,Why is my CPC so high?,conversion tracking failure
TICKET_140,My campaign budget finished too quickly,conversion tracking failure
TICKET_141,CTR dropped suddenly yesterday,budget exhausted
TICKET_142,Conversions stopped tracking,low CTR
TICKET_143,Why is my CPC so high?,bid strategy problem
TICKET_144,Why is my CPC so high?,budget exhausted
TICKET_145,Traffic from ads decreased,poor keyword targeting
TICKET_146,My ads are getting clicks but no conversions,bid strategy problem
TICKET_147,CTR dropped suddenly yesterday,poor keyword targeting
TICKET_148,Traffic from ads decreased,bid strategy problem
TICKET_149,My campaign budget finished too quickly,bid strategy problem
TICKET_150,Why are my ads not showing?,budget exhausted
TICKET_151,Why are my ads not showing?,budget exhausted
TICKET_152,Why are my ads not showing?,poor keyword targeting
TICKET_153,Traffic from ads decreased,low CTR
TICKET_154,Campaign spend increased unexpectedly,low CTR
TICKET_155,Traffic from ads decreased,bid strategy problem
TICKET_156,Conversions stopped tracking,bid strategy problem
TICKET_157,Traffic from ads decreased,conversion tracking failure
TICKET_158,Impressions are high but nobody is clicking,budget exhausted
TICKET_159,My ads are getting clicks but no conversions,conversion tracking failure
TICKET_160,Why is my CPC so high?,budget exhausted
TICKET_161,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_162,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_163,Campaign spend increased unexpectedly,conversion tracking failure
TICKET_164,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_165,Conversions stopped tracking,budget exhausted
TICKET_166,Why are my ads not showing?,bid strategy problem
TICKET_167,Why is my CPC so high?,budget exhausted
TICKET_168,Ads approved but not delivering,bid strategy problem
TICKET_169,Traffic from ads decreased,low CTR
TICKET_170,Why are my ads not showing?,bid strategy problem
TICKET_171,Traffic from ads decreased,conversion tracking failure
TICKET_172,Conversions stopped tracking,poor keyword targeting
TICKET_173,Conversions stopped tracking,conversion tracking failure
TICKET_174,Why are my ads not showing?,poor keyword targeting
TICKET_175,Impressions are high but nobody is clicking,budget exhausted
TICKET_176,Conversions stopped tracking,low CTR
TICKET_177,CTR dropped suddenly yesterday,bid strategy problem
TICKET_178,Conversions stopped tracking,budget exhausted
TICKET_179,Why is my CPC so high?,budget exhausted
TICKET_180,My ads are getting clicks but no conversions,low CTR
TICKET_181,Conversions stopped tracking,poor keyword targeting
TICKET_182,Why is my CPC so high?,low CTR
TICKET_183,Why is my CPC so high?,bid strategy problem
TICKET_184,Impressions are high but nobody is clicking,low CTR
TICKET_185,Why is my CPC so high?,poor keyword targeting
TICKET_186,Why is my CPC so high?,low CTR
TICKET_187,Impressions are high but nobody is clicking,low CTR
TICKET_188,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_189,My ads are getting clicks but no conversions,low CTR
TICKET_190,Impressions are high but nobody is clicking,low CTR
TICKET_191,Why is my CPC so high?,bid strategy problem
TICKET_192,My campaign budget finished too quickly,conversion tracking failure
TICKET_193,CTR dropped suddenly yesterday,bid strategy problem
TICKET_194,Traffic from ads decreased,low CTR
TICKET_195,Traffic from ads decreased,low CTR
TICKET_196,Why is my CPC so high?,conversion tracking failure
TICKET_197,Campaign spend increased unexpectedly,budget exhausted
TICKET_198,Impressions are high but nobody is clicking,conversion tracking failure
TICKET_199,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_200,Why is my CPC so high?,poor keyword targeting
TICKET_201,Ads approved but not delivering,conversion tracking failure
TICKET_202,My campaign budget finished too quickly,low CTR
TICKET_203,Why is my CPC so high?,budget exhausted
TICKET_204,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_205,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_206,Why are my ads not showing?,poor keyword targeting
TICKET_207,Why is my CPC so high?,poor keyword targeting
TICKET_208,My ads are getting clicks but no conversions,bid strategy problem
TICKET_209,Impressions are high but nobody is clicking,conversion tracking failure
TICKET_210,Traffic from ads decreased,bid strategy problem
TICKET_211,My campaign budget finished too quickly,conversion tracking failure
TICKET_212,Campaign spend increased unexpectedly,budget exhausted
TICKET_213,Ads approved but not delivering,budget exhausted
TICKET_214,My ads are getting clicks but no conversions,budget exhausted
TICKET_215,Why are my ads not showing?,poor keyword targeting
TICKET_216,CTR dropped suddenly yesterday,budget exhausted
TICKET_217,Campaign spend increased unexpectedly,low CTR
TICKET_218,Traffic from ads decreased,conversion tracking failure
TICKET_219,My campaign budget finished too quickly,poor keyword targeting
TICKET_220,Conversions stopped tracking,budget exhausted
TICKET_221,Ads approved but not delivering,poor keyword targeting
TICKET_222,Conversions stopped tracking,poor keyword targeting
TICKET_223,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_224,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_225,My campaign budget finished too quickly,bid strategy problem
TICKET_226,Why is my CPC so high?,conversion tracking failure
TICKET_227,Conversions stopped tracking,low CTR
TICKET_228,Impressions are high but nobody is clicking,conversion tracking failure
TICKET_229,Traffic from ads decreased,budget exhausted
TICKET_230,My campaign budget finished too quickly,low CTR
TICKET_231,Why are my ads not showing?,bid strategy problem
TICKET_232,Impressions are high but nobody is clicking,bid strategy problem
TICKET_233,My ads are getting clicks but no conversions,bid strategy problem
TICKET_234,Conversions stopped tracking,poor keyword targeting
TICKET_235,My ads are getting clicks but no conversions,low CTR
TICKET_236,Why is my CPC so high?,conversion tracking failure
TICKET_237,Ads approved but not delivering,low CTR
TICKET_238,My ads are getting clicks but no conversions,low CTR
TICKET_239,Campaign spend increased unexpectedly,low CTR
TICKET_240,Conversions stopped tracking,poor keyword targeting
TICKET_241,Ads approved but not delivering,poor keyword targeting
TICKET_242,Traffic from ads decreased,bid strategy problem
TICKET_243,Traffic from ads decreased,bid strategy problem
TICKET_244,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_245,CTR dropped suddenly yesterday,poor keyword targeting
TICKET_246,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_247,Why is my CPC so high?,budget exhausted
TICKET_248,Conversions stopped tracking,bid strategy problem
TICKET_249,Conversions stopped tracking,budget exhausted
TICKET_250,Traffic from ads decreased,low CTR
TICKET_251,Traffic from ads decreased,conversion tracking failure
TICKET_252,My ads are getting clicks but no conversions,budget exhausted
TICKET_253,Traffic from ads decreased,poor keyword targeting
TICKET_254,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_255,Conversions stopped tracking,conversion tracking failure
TICKET_256,Traffic from ads decreased,poor keyword targeting
TICKET_257,CTR dropped suddenly yesterday,budget exhausted
TICKET_258,Why are my ads not showing?,conversion tracking failure
TICKET_259,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_260,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_261,Why is my CPC so high?,budget exhausted
TICKET_262,Why are my ads not showing?,bid strategy problem
TICKET_263,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_264,Why is my CPC so high?,conversion tracking failure
TICKET_265,Ads approved but not delivering,poor keyword targeting
TICKET_266,Ads approved but not delivering,budget exhausted
TICKET_267,Conversions stopped tracking,poor keyword targeting
TICKET_268,Why is my CPC so high?,low CTR
TICKET_269,Conversions stopped tracking,poor keyword targeting
TICKET_270,Impressions are high but nobody is clicking,conversion tracking failure
TICKET_271,Ads approved but not delivering,poor keyword targeting
TICKET_272,Why are my ads not showing?,budget exhausted
TICKET_273,Campaign spend increased unexpectedly,low CTR
TICKET_274,Conversions stopped tracking,bid strategy problem
TICKET_275,Ads approved but not delivering,conversion tracking failure
TICKET_276,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_277,Campaign spend increased unexpectedly,bid strategy problem
TICKET_278,CTR dropped suddenly yesterday,bid strategy problem
TICKET_279,My ads are getting clicks but no conversions,low CTR
TICKET_280,Campaign spend increased unexpectedly,conversion tracking failure
TICKET_281,Impressions are high but nobody is clicking,budget exhausted
TICKET_282,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_283,Ads approved but not delivering,poor keyword targeting
TICKET_284,Traffic from ads decreased,poor keyword targeting
TICKET_285,Conversions stopped tracking,conversion tracking failure
TICKET_286,Conversions stopped tracking,bid strategy problem
TICKET_287,My campaign budget finished too quickly,budget exhausted
TICKET_288,Campaign spend increased unexpectedly,budget exhausted
TICKET_289,My ads are getting clicks but no conversions,budget exhausted
TICKET_290,My ads are getting clicks but no conversions,low CTR
TICKET_291,Ads approved but not delivering,poor keyword targeting
TICKET_292,Why are my ads not showing?,conversion tracking failure
TICKET_293,Why is my CPC so high?,low CTR
TICKET_294,Impressions are high but nobody is clicking,budget exhausted
TICKET_295,Campaign spend increased unexpectedly,conversion tracking failure
TICKET_296,Conversions stopped tracking,conversion tracking failure
TICKET_297,CTR dropped suddenly yesterday,low CTR
TICKET_298,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_299,Conversions stopped tracking,bid strategy problem
TICKET_300,Campaign spend increased unexpectedly,bid strategy problem
TICKET_301,My ads are getting clicks but no conversions,bid strategy problem
TICKET_302,My ads are getting clicks but no conversions,low CTR
TICKET_303,My campaign budget finished too quickly,budget exhausted
TICKET_304,My ads are getting clicks but no conversions,budget exhausted
TICKET_305,Why are my ads not showing?,budget exhausted
TICKET_306,Why are my ads not showing?,low CTR
TICKET_307,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_308,Why is my CPC so high?,budget exhausted
TICKET_309,Impressions are high but nobody is clicking,bid strategy problem
TICKET_310,My campaign budget finished too quickly,low CTR
TICKET_311,Conversions stopped tracking,poor keyword targeting
TICKET_312,Why is my CPC so high?,budget exhausted
TICKET_313,Conversions stopped tracking,low CTR
TICKET_314,Conversions stopped tracking,bid strategy problem
TICKET_315,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_316,CTR dropped suddenly yesterday,poor keyword targeting
TICKET_317,Why are my ads not showing?,low CTR
TICKET_318,Impressions are high but nobody is clicking,bid strategy problem
TICKET_319,Conversions stopped tracking,poor keyword targeting
TICKET_320,Impressions are high but nobody is clicking,low CTR
TICKET_321,Impressions are high but nobody is clicking,bid strategy problem
TICKET_322,Traffic from ads decreased,low CTR
TICKET_323,Campaign spend increased unexpectedly,budget exhausted
TICKET_324,Traffic from ads decreased,poor keyword targeting
TICKET_325,Campaign spend increased unexpectedly,budget exhausted
TICKET_326,My ads are getting clicks but no conversions,bid strategy problem
TICKET_327,Why is my CPC so high?,budget exhausted
TICKET_328,Campaign spend increased unexpectedly,conversion tracking failure
TICKET_329,Campaign spend increased unexpectedly,conversion tracking failure
TICKET_330,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_331,Ads approved but not delivering,bid strategy problem
TICKET_332,Why are my ads not showing?,low CTR
TICKET_333,My ads are getting clicks but no conversions,bid strategy problem
TICKET_334,My ads are getting clicks but no conversions,budget exhausted
TICKET_335,My ads are getting clicks but no conversions,poor keyword targeting
