ticket_id,ticket_text,diagnosed_issue
TICKET_666,Impressions are high but nobody is clicking,low CTR
TICKET_667,Campaign spend increased unexpectedly,low CTR
TICKET_668,Campaign spend increased unexpectedly,budget exhausted
TICKET_669,Conversions stopped tracking,poor keyword targeting
TICKET_670,My campaign budget finished too quickly,poor keyword targeting
TICKET_671,Impressions are high but nobody is clicking,conversion tracking failure
TICKET_672,My ads are getting clicks but no conversions,budget exhausted
TICKET_673,Why is my CPC so high?,conversion tracking failure
TICKET_674,Conversions stopped tracking,conversion tracking failure
TICKET_675,My ads are getting clicks but no conversions,bid strategy problem
TICKET_676,CTR dropped suddenly yesterday,bid strategy problem
TICKET_677,Traffic from ads decreased,low CTR
TICKET_678,My campaign budget finished too quickly,conversion tracking failure
TICKET_679,Campaign spend increased unexpectedly,conversion tracking failure
TICKET_680,Campaign spend increased unexpectedly,budget exhausted
TICKET_681,Impressions are high but nobody is clicking,budget exhausted
TICKET_682,Campaign spend increased unexpectedly,low CTR
TICKET_683,Why are my ads not showing?,budget exhausted
TICKET_684,Why are my ads not showing?,conversion tracking failure
TICKET_685,Why are my ads not showing?,conversion tracking failure
TICKET_686,Why is my CPC so high?,conversion tracking failure
TICKET_687,My campaign budget finished too quickly,conversion tracking failure
TICKET_688,Impressions are high but nobody is clicking,budget exhausted
TICKET_689,Why is my CPC so high?,budget exhausted
TICKET_690,Impressions are high but nobody is clicking,low CTR
TICKET_691,Why are my ads not showing?,conversion tracking failure
TICKET_692,Impressions are high but nobody is clicking,bid strategy problem
TICKET_693,Conversions stopped tracking,poor keyword targeting
TICKET_694,Campaign spend increased unexpectedly,bid strategy problem
TICKET_695,Why is my CPC so high?,bid strategy problem
TICKET_696,CTR dropped suddenly yesterday,bid strategy problem
TICKET_697,Why is my CPC so high?,poor keyword targeting
TICKET_698,Impressions are high but nobody is clicking,low CTR
TICKET_699,CTR dropped suddenly yesterday,budget exhausted
TICKET_700,My ads are getting clicks but no conversions,conversion tracking failure
TICKET_701,My ads are getting clicks but no conversions,budget exhausted
TICKET_702,Conversions stopped tracking,poor keyword targeting
TICKET_703,Campaign spend increased unexpectedly,bid strategy problem
TICKET_704,Traffic from ads decreased,budget exhausted
TICKET_705,Why are my ads not showing?,budget exhausted
TICKET_706,Why are my ads not showing?,poor keyword targeting
TICKET_707,Why are my ads not showing?,poor keyword targeting
TICKET_708,Ads approved but not delivering,conversion tracking failure
TICKET_709,Ads approved but not delivering,budget exhausted
TICKET_710,Why is my CPC so high?,bid strategy problem
TICKET_711,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_712,Why are my ads not showing?,bid strategy problem
TICKET_713,Impressions are high but nobody is clicking,bid strategy problem
TICKET_714,Why are my ads not showing?,low CTR
TICKET_715,Impressions are high but nobody is clicking,bid strategy problem
TICKET_716,CTR dropped suddenly yesterday,budget exhausted
TICKET_717,My campaign budget finished too quickly,conversion tracking failure
TICKET_718,My ads are getting clicks but no conversions,budget exhausted
TICKET_719,Impressions are high but nobody is clicking,low CTR
TICKET_720,Impressions are high but nobody is clicking,budget exhausted
TICKET_721,Conversions stopped tracking,conversion tracking failure
TICKET_722,CTR dropped suddenly yesterday,budget exhausted
TICKET_723,Conversions stopped tracking,poor keyword targeting
TICKET_724,Impressions are high but nobody is clicking,conversion tracking failure
TICKET_725,My ads are getting clicks but no conversions,bid strategy problem
TICKET_726,Traffic from ads decreased,poor keyword targeting
TICKET_727,My campaign budget finished too quickly,conversion tracking failure
TICKET_728,My campaign budget finished too quickly,conversion tracking failure
TICKET_729,My campaign budget finished too quickly,budget exhausted
TICKET_730,Why is my CPC so high?,poor keyword targeting
TICKET_731,Traffic from ads decreased,conversion tracking failure
TICKET_732,Ads approved but not delivering,bid strategy problem
TICKET_733,Campaign spend increased unexpectedly,low CTR
TICKET_734,My ads are getting clicks but no conversions,low CTR
TICKET_735,Ads approved but not delivering,budget exhausted
TICKET_736,Ads approved but not delivering,low CTR
TICKET_737,Campaign spend increased unexpectedly,budget exhausted
TICKET_738,CTR dropped suddenly yesterday,bid strategy problem
TICKET_739,Campaign spend increased unexpectedly,bid strategy problem
TICKET_740,Campaign spend increased unexpectedly,conversion tracking failure
TICKET_741,Traffic from ads decreased,bid strategy problem
TICKET_742,CTR dropped suddenly yesterday,poor keyword targeting
TICKET_743,Ads approved but not delivering,low CTR
TICKET_744,Why are my ads not showing?,budget exhausted
TICKET_745,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_746,Impressions are high but nobody is clicking,budget exhausted
TICKET_747,Why is my CPC so high?,low CTR
TICKET_748,My ads are getting clicks but no conversions,budget exhausted
TICKET_749,Conversions stopped tracking,budget exhausted
TICKET_750,My campaign budget finished too quickly,conversion tracking failure
TICKET_751,Ads approved but not delivering,budget exhausted
TICKET_752,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_753,Conversions stopped tracking,conversion tracking failure
TICKET_754,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_755,Why are my ads not showing?,low CTR
TICKET_756,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_757,Why are my ads not showing?,budget exhausted
TICKET_758,CTR dropped suddenly yesterday,bid strategy problem
TICKET_759,Impressions are high but nobody is clicking,low CTR
TICKET_760,My campaign budget finished too quickly,low CTR
TICKET_761,Why are my ads not showing?,conversion tracking failure
TICKET_762,Traffic from ads decreased,low CTR
TICKET_763,My ads are getting clicks but no conversions,budget exhausted
TICKET_764,My ads are getting clicks but no conversions,low CTR
TICKET_765,Why are my ads not showing?,poor keyword targeting
TICKET_766,My campaign budget finished too quickly,budget exhausted
TICKET_767,Conversions stopped tracking,poor keyword targeting
TICKET_768,CTR dropped suddenly yesterday,budget exhausted
TICKET_769,Why is my CPC so high?,bid strategy problem
TICKET_770,Why are my ads not showing?,poor keyword targeting
TICKET_771,Ads approved but not delivering,low CTR
TICKET_772,Why are my ads not showing?,poor keyword targeting
TICKET_773,Conversions stopped tracking,bid strategy problem
TICKET_774,My campaign budget finished too quickly,low CTR
TICKET_775,CTR dropped suddenly yesterday,budget exhausted
TICKET_776,My campaign budget finished too quickly,conversion tracking failure
TICKET_777,My campaign budget finished too quickly,poor keyword targeting
TICKET_778,My campaign budget finished too quickly,low CTR
TICKET_779,My ads are getting clicks but no conversions,low CTR
TICKET_780,Why are my ads not showing?,low CTR
TICKET_781,Why are my ads not showing?,poor keyword targeting
TICKET_782,Ads approved but not delivering,poor keyword targeting
TICKET_783,Ads approved but not delivering,bid strategy problem
TICKET_784,Ads approved but not delivering,conversion tracking failure
TICKET_785,My campaign budget finished too quickly,conversion tracking failure
TICKET_786,Ads approved but not delivering,conversion tracking failure
TICKET_787,Why are my ads not showing?,budget exhausted
TICKET_788,My ads are getting clicks but no conversions,conversion tracking failure
TICKET_789,Traffic from ads decreased,bid strategy problem
TICKET_790,Why is my CPC so high?,poor keyword targeting
TICKET_791,Why are my ads not showing?,budget exhausted
TICKET_792,Why is my CPC so high?,conversion tracking failure
TICKET_793,Conversions stopped tracking,budget exhausted
TICKET_794,My campaign budget finished too quickly,conversion tracking failure
TICKET_795,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_796,CTR dropped suddenly yesterday,poor keyword targeting
TICKET_797,Conversions stopped tracking,poor keyword targeting
TICKET_798,Traffic from ads decreased,poor keyword targeting
TICKET_799,Traffic from ads decreased,conversion tracking failure
TICKET_800,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_801,Ads approved but not delivering,conversion tracking failure
TICKET_802,My campaign budget finished too quickly,poor keyword targeting
TICKET_803,Why is my CPC so high?,poor keyword targeting
TICKET_804,Ads approved but not delivering,conversion tracking failure
TICKET_805,My ads are getting clicks but no conversions,bid strategy problem
TICKET_806,CTR dropped suddenly yesterday,budget exhausted
TICKET_807,Ads approved but not delivering,bid strategy problem
TICKET_808,Why is my CPC so high?,low CTR
TICKET_809,Why are my ads not showing?,budget exhausted
TICKET_810,Ads approved but not delivering,poor keyword targeting
TICKET_811,Why are my ads not showing?,poor keyword targeting
TICKET_812,CTR dropped suddenly yesterday,bid strategy problem
TICKET_813,Traffic from ads decreased,bid strategy problem
TICKET_814,Why are my ads not showing?,budget exhausted
TICKET_815,Traffic from ads decreased,conversion tracking failure
TICKET_816,Traffic from ads decreased,poor keyword targeting
TICKET_817,Impressions are high but nobody is clicking,conversion tracking failure
TICKET_818,Conversions stopped tracking,bid strategy problem
TICKET_819,Why are my ads not showing?,poor keyword targeting
TICKET_820,Why are my ads not showing?,budget exhausted
TICKET_821,Conversions stopped tracking,budget exhausted
TICKET_822,My campaign budget finished too quickly,bid strategy problem
TICKET_823,Why are my ads not showing?,conversion tracking failure
TICKET_824,Why are my ads not showing?,conversion tracking failure
TICKET_825,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_826,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_827,Conversions stopped tracking,low CTR
TICKET_828,Conversions stopped tracking,low CTR
TICKET_829,Ads approved but not delivering,low CTR
TICKET_830,Conversions stopped tracking,budget exhausted
TICKET_831,Why are my ads not showing?,bid strategy problem
TICKET_832,Traffic from ads decreased,poor keyword targeting
TICKET_833,Impressions are high but nobody is clicking,low CTR
TICKET_834,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_835,Conversions stopped tracking,conversion tracking failure
TICKET_836,Campaign spend increased unexpectedly,budget exhausted
TICKET_837,Impressions are high but nobody is clicking,budget exhausted
TICKET_838,CTR dropped suddenly yesterday,bid strategy problem
TICKET_839,Campaign spend increased unexpectedly,conversion tracking failure
TICKET_840,Impressions are high but nobody is clicking,budget exhausted
TICKET_841,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_842,Traffic from ads decreased,budget exhausted
TICKET_843,Conversions stopped tracking,conversion tracking failure
TICKET_844,Why is my CPC so high?,conversion tracking failure
TICKET_845,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_846,Conversions stopped tracking,bid strategy problem
TICKET_847,Why is my CPC so high?,poor keyword targeting
TICKET_848,Ads approved but not delivering,bid strategy problem
TICKET_849,Why is my CPC so high?,low CTR
TICKET_850,Campaign spend increased unexpectedly,conversion tracking failure
TICKET_851,CTR dropped suddenly yesterday,budget exhausted
TICKET_852,Why are my ads not showing?,budget exhausted
TICKET_853,Ads approved but not delivering,budget exhausted
TICKET_854,Ads approved but not delivering,low CTR
TICKET_855,Ads approved but not delivering,bid strategy problem
TICKET_856,My campaign budget finished too quickly,low CTR
TICKET_857,Traffic from ads decreased,budget exhausted
TICKET_858,Conversions stopped tracking,poor keyword targeting
TICKET_859,Campaign spend increased unexpectedly,budget exhausted
TICKET_860,Campaign spend increased unexpectedly,conversion tracking failure
TICKET_861,Ads approved but not delivering,conversion tracking failure
TICKET_862,Conversions stopped tracking,poor keyword targeting
TICKET_863,CTR dropped suddenly yesterday,bid strategy problem
TICKET_864,Conversions stopped tracking,conversion tracking failure
TICKET_865,CTR dropped suddenly yesterday,low CTR
TICKET_866,Ads approved but not delivering,poor keyword targeting
TICKET_867,Why are my ads not showing?,conversion tracking failure
TICKET_868,My campaign budget finished too quickly,conversion tracking failure
TICKET_869,My campaign budget finished too quickly,budget exhausted
TICKET_870,Impressions are high but nobody is clicking,low CTR
TICKET_871,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_872,My campaign budget finished too quickly,budget exhausted
TICKET_873,Ads approved but not delivering,conversion tracking failure
TICKET_874,Why are my ads not showing?,bid strategy problem
TICKET_875,Conversions stopped tracking,poor keyword targeting
TICKET_876,Impressions are high but nobody is clicking,budget exhausted
TICKET_877,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_878,Ads approved but not delivering,budget exhausted
TICKET_879,Why is my CPC so high?,conversion tracking failure
TICKET_880,CTR dropped suddenly yesterday,budget exhausted
TICKET_881,My campaign budget finished too quickly,conversion tracking failure
TICKET_882,Ads approved but not delivering,low CTR
TICKET_883,My ads are getting clicks but no conversions,low CTR
TICKET_884,Why is my CPC so high?,poor keyword targeting
TICKET_885,Traffic from ads decreased,poor keyword targeting
TICKET_886,Conversions stopped tracking,poor keyword targeting
TICKET_887,Why is my CPC so high?,poor keyword targeting
TICKET_888,Traffic from ads decreased,poor keyword targeting
TICKET_889,Ads approved but not delivering,low CTR
TICKET_890,Campaign spend increased unexpectedly,budget exhausted
TICKET_891,Campaign spend increased unexpectedly,low CTR
TICKET_892,Ads approved but not delivering,conversion tracking failure
TICKET_893,Impressions are high but nobody is clicking,low CTR
TICKET_894,Campaign spend increased unexpectedly,bid strategy problem
TICKET_895,Campaign spend increased unexpectedly,bid strategy problem
TICKET_896,Why is my CPC so high?,poor keyword targeting
TICKET_897,My campaign budget finished too quickly,bid strategy problem
TICKET_898,My ads are getting clicks but no conversions,conversion tracking failure
TICKET_899,Traffic from ads decreased,poor keyword targeting
TICKET_900,Why is my CPC so high?,poor keyword targeting
TICKET_901,Ads approved but not delivering,bid strategy problem
TICKET_902,Traffic from ads decreased,bid strategy problem
TICKET_903,My campaign budget finished too quickly,low CTR
TICKET_904,My campaign budget finished too quickly,budget exhausted
TICKET_905,Conversions stopped tracking,low CTR
TICKET_906,My ads are getting clicks but no conversions,low CTR
TICKET_907,Why is my CPC so high?,poor keyword targeting
TICKET_908,My ads are getting clicks but no conversions,budget exhausted
TICKET_909,My ads are getting clicks but no conversions,low CTR
TICKET_910,My ads are getting clicks but no conversions,budget exhausted
TICKET_911,Traffic from ads decreased,low CTR
TICKET_912,Why is my CPC so high?,bid strategy problem
TICKET_913,Campaign spend increased unexpectedly,conversion tracking failure
TICKET_914,Impressions are high but nobody is clicking,bid strategy problem
TICKET_915,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_916,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_917,Ads approved but not delivering,conversion tracking failure
TICKET_918,Why is my CPC so high?,budget exhausted
TICKET_919,Conversions stopped tracking,bid strategy problem
TICKET_920,Why are my ads not showing?,poor keyword targeting
TICKET_921,Impressions are high but nobody is clicking,bid strategy problem
TICKET_922,Conversions stopped tracking,bid strategy problem
TICKET_923,Why is my CPC so high?,budget exhausted
TICKET_924,My ads are getting clicks but no conversions,low CTR
TICKET_925,My campaign budget finished too quickly,low CTR
TICKET_926,Ads approved but not delivering,low CTR
TICKET_927,Ads approved but not delivering,budget exhausted
TICKET_928,Campaign spend increased unexpectedly,low CTR
TICKET_929,CTR dropped suddenly yesterday,poor keyword targeting
TICKET_930,Why is my CPC so high?,poor keyword targeting
TICKET_931,Impressions are high but nobody is clicking,budget exhausted
TICKET_932,Why is my CPC so high?,low CTR
TICKET_933,Traffic from ads decreased,conversion tracking failure
TICKET_934,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_935,My campaign budget finished too quickly,budget exhausted
TICKET_936,Why is my CPC so high?,bid strategy problem
TICKET_937,Traffic from ads decreased,low CTR
TICKET_938,Ads approved but not delivering,budget exhausted
TICKET_939,Why is my CPC so high?,conversion tracking failure
TICKET_940,My ads are getting clicks but no conversions,low CTR
TICKET_941,My ads are getting clicks but no conversions,budget exhausted
TICKET_942,CTR dropped suddenly yesterday,poor keyword targeting
TICKET_943,Traffic from ads decreased,budget exhausted
TICKET_944,Ads approved but not delivering,budget exhausted
TICKET_945,My campaign budget finished too quickly,poor keyword targeting
TICKET_946,CTR dropped suddenly yesterday,budget exhausted
TICKET_947,Traffic from ads decreased,low CTR
TICKET_948,Campaign spend increased unexpectedly,budget exhausted
TICKET_949,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_950,Ads approved but not delivering,poor keyword targeting
TICKET_951,CTR dropped suddenly yesterday,bid strategy problem
TICKET_952,Why is my CPC so high?,poor keyword targeting
TICKET_953,Impressions are high but nobody is clicking,poor keyword targeting
TICKET_954,My campaign budget finished too quickly,low CTR
TICKET_955,Traffic from ads decreased,bid strategy problem
TICKET_956,Why are my ads not showing?,low CTR
TICKET_957,CTR dropped suddenly yesterday,conversion tracking failure
TICKET_958,Ads approved but not delivering,low CTR
TICKET_959,Why are my ads not showing?,budget exhausted
TICKET_960,Ads approved but not delivering,poor keyword targeting
TICKET_961,Campaign spend increased unexpectedly,bid strategy problem
TICKET_962,Ads approved but not delivering,poor keyword targeting
TICKET_963,Campaign spend increased unexpectedly,poor keyword targeting
TICKET_964,Why is my CPC so high?,budget exhausted
TICKET_965,Campaign spend increased unexpectedly,bid strategy problem
TICKET_966,My campaign budget finished too quickly,poor keyword targeting
TICKET_967,CTR dropped suddenly yesterday,poor keyword targeting
TICKET_968,Ads approved but not delivering,poor keyword targeting
TICKET_969,Ads approved but not delivering,bid strategy problem
TICKET_970,Why is my CPC so high?,budget exhausted
TICKET_971,Traffic from ads decreased,poor keyword targeting
TICKET_972,My ads are getting clicks but no conversions,bid strategy problem
TICKET_973,Ads approved but not delivering,bid strategy problem
TICKET_974,CTR dropped suddenly yesterday,budget exhausted
TICKET_975,Ads approved but not delivering,conversion tracking failure
TICKET_976,Impressions are high but nobody is clicking,budget exhausted
TICKET_977,Why is my CPC so high?,budget exhausted
TICKET_978,CTR dropped suddenly yesterday,poor keyword targeting
TICKET_979,Conversions stopped tracking,bid strategy problem
TICKET_980,Campaign spend increased unexpectedly,budget exhausted
TICKET_981,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_982,Why are my ads not showing?,bid strategy problem
TICKET_983,Ads approved but not delivering,bid strategy problem
TICKET_984,Impressions are high but nobody is clicking,conversion tracking failure
TICKET_985,Campaign spend increased unexpectedly,bid strategy problem
TICKET_986,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_987,Why is my CPC so high?,low CTR
TICKET_988,Why is my CPC so high?,budget exhausted
TICKET_989,Why is my CPC so high?,bid strategy problem
TICKET_990,Why are my ads not showing?,poor keyword targeting
TICKET_991,My ads are getting clicks but no conversions,poor keyword targeting
TICKET_992,Traffic from ads decreased,poor keyword targeting
TICKET_993,My campaign budget finished too quickly,bid strategy problem
TICKET_994,CTR dropped suddenly yesterday,budget exhausted
TICKET_995,My ads are getting clicks but no conversions,conversion tracking failure
TICKET_996,Why are my ads not showing?,conversion tracking failure
TICKET_997,Ads approved but not delivering,low CTR
TICKET_998,Campaign spend increased unexpectedly,low CTR
TICKET_999,Ads approved but not delivering,low CTR
TICKET_1000,Traffic from ads decreased,low CTR
